HF,HST,HY,HR,HPr5MW,HPr5MD,HPr5ML,HTHG,AF,AST,AY,AR,APr5MW,APr5MD,APr5ML,HTAG,RstDayDiff,B365HDstDrw,B365ADstDrw,FTR
1.0,0.25,0.5,0.0,0.6000000000000001,0.4,0.0,2.0,1.1666666666666667,0.25,2.5,0.0,0.8,0.0,0.2,0.0,-0.5,0.2995260501179525,-0.14002828854314012,H
0.8333333333333334,1.0,0.0,0.0,0.2,0.4,0.4,1.0,0.3333333333333333,-0.25,1.0,0.0,0.2,0.2,0.6000000000000001,0.0,0.0,0.8424477628823279,-0.5261669024045262,H
-0.3333333333333333,-0.25,-0.5,0.0,0.4,0.2,0.4,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,2.1349534714299465,-0.6065396455611948,H
-0.16666666666666666,-0.25,1.0,0.0,0.6000000000000001,0.4,0.0,0.0,1.3333333333333333,-0.75,0.0,0.0,0.4,0.2,0.4,1.0,0.5,0.3830416993122662,-0.26874115983026875,D
0.0,1.0,-1.0,0.0,0.6000000000000001,0.2,0.2,0.0,1.3333333333333333,-0.5,-1.0,0.0,0.4,0.2,0.4,0.0,0.0,2.753303734656569,-0.8380480905233382,H
2.6666666666666665,-1.0,0.5,0.0,0.2,0.4,0.4,1.0,0.5,1.0,2.0,0.0,0.2,0.0,0.8,0.0,0.0,-0.3217550274223032,0.8698727015558699,H
0.16666666666666666,-0.25,-0.5,0.0,0.6000000000000001,0.0,0.4,2.0,2.3333333333333335,-0.75,0.0,0.0,0.4,0.0,0.6000000000000001,0.0,0.0,1.6901714982153742,-0.5261669024045262,H
0.5,0.0,0.0,0.0,0.6000000000000001,0.0,0.4,1.0,1.0,-0.25,-0.5,0.0,0.4,0.0,0.6000000000000001,0.0,0.0,0.06894750587620786,0.12729844413012725,H
0.16666666666666666,-0.25,-1.0,0.0,0.0,0.0,1.0,0.0,1.8333333333333333,-0.5,-0.5,0.0,0.4,0.2,0.4,0.0,-0.5,-0.04596500391747198,0.15471657055815416,D
0.6666666666666666,-0.5,0.0,0.0,0.2,0.2,0.6000000000000001,1.0,0.5,1.5,-1.0,0.0,0.6000000000000001,0.4,0.0,2.0,-0.5,-0.7699138156176546,2.3470174220159397,A
0.5,0.25,-0.5,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,-0.25,2.0,0.0,0.6000000000000001,0.2,0.2,0.0,0.5,-0.7622933018102843,2.0536991766889328,D
0.5,1.5,0.0,0.0,0.8,0.0,0.2,0.0,0.5,0.25,0.5,1.0,0.6000000000000001,0.4,0.0,2.0,0.0,-0.04596500391747198,0.15471657055815416,D
0.0,0.75,0.0,0.0,0.4,0.4,0.2,0.0,0.0,-0.5,-0.5,0.0,0.0,0.2,0.8,0.0,1.0,1.0297062152100331,-0.4667609618104669,H
0.16666666666666666,-0.5,-0.5,0.0,0.4,0.4,0.2,0.0,1.0,0.5,-0.5,0.0,0.4,0.2,0.4,1.0,0.0,0.06894750587620786,0.12729844413012725,A
-0.5,0.75,0.0,0.0,0.4,0.6000000000000001,0.0,1.0,0.8333333333333334,0.5,0.0,0.0,0.0,0.2,0.8,1.0,-0.5,1.9535126664925568,-0.7637906647807639,A
0.6666666666666666,0.5,1.0,0.0,0.2,0.0,0.8,2.0,1.8333333333333333,0.25,0.0,0.0,0.8,0.2,0.0,0.0,0.5,-0.8357273439540349,2.4705327675624704,D
2.3333333333333335,0.0,0.5,0.0,0.6000000000000001,0.2,0.2,0.0,0.8333333333333334,0.0,0.0,0.0,0.4,0.6000000000000001,0.0,2.0,-1.0,-0.11491250979367963,0.44908062234794904,D
